"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.focus-on-english.com/blog/gramatica/past-simple-usos-reglas","59","1","1.69%","6.000013559322034"
"https://www.focus-on-english.com/blog/gramatica/reported-speech-guia-uso","56","0","0%","5.7678482142857135"
"https://www.focus-on-english.com/blog/gramatica/phrasal-verbs-with-get","56","9","16.07%","2.946433928571428"
"https://www.focus-on-english.com/blog/gramatica/past-perfect-ingles","54","1","1.85%","5.129661111111112"
"https://www.focus-on-english.com/blog/examenes/ielts-band-scores-guia","53","4","7.55%","4.188679245283019"
"https://www.focus-on-english.com/blog/gramatica/preposiciones-movimiento-ingles","53","1","1.8900000000000001%","5.886807547169812"
"https://www.focus-on-english.com/blog/gramatica/will-futuro-ingles","52","1","1.92%","7.4230519230769225"
"https://www.focus-on-english.com/blog/gramatica/will-ejercicios-ingles","49","3","6.12%","4.469377551020409"
"https://www.focus-on-english.com/aprender-ingles","47","0","0%","5.7446936170212775"
"https://www.focus-on-english.com/blog/metodos/acentos-ingles-diferencias","46","4","8.700000000000001%","3.652178260869565"
"https://www.focus-on-english.com/blog/examenes/preparacion-examen-b1-cambridge","44","2","4.55%","4.840913636363637"
"https://www.focus-on-english.com/blog/temas/present-perfect-vs-past-simple","43","1","2.33%","6.558190697674419"
"https://www.focus-on-english.com/blog/gramatica/reported-speech-questions-commands","40","1","2.5%","4.9500375000000005"
"https://www.focus-on-english.com/blog/gramatica/have-something-done-ingles","40","2","5%","2.99999"
"https://www.focus-on-english.com/blog/gramatica/wish-if-only-ingles","39","0","0%","4.692312820512821"
"https://www.focus-on-english.com/blog/metodos/mejores-canales-youtube-aprender-ingles","37","0","0%","6.972994594594594"
"https://www.focus-on-english.com/hubs/voz-pasiva-ingles","36","0","0%","4.527755555555555"
"https://www.focus-on-english.com/blog/gramatica/sonido-th-ingles-como-pronunciarlo","36","0","0%","3.6111166666666668"
"https://www.focus-on-english.com/blog/temas/mejores-peliculas-series-ingles","35","1","2.86%","7.342885714285715"
"https://www.focus-on-english.com/blog/examenes/reported-speech-cambridge-exams","35","5","14.290000000000001%","4.771425714285714"
"https://www.focus-on-english.com/blog/gramatica/diptongos-ingles-lista-completa","34","2","5.88%","2.5882735294117647"
"https://www.focus-on-english.com/blog/gramatica/should-would-ingles","33","2","6.0600000000000005%","4.939381818181817"
"https://www.focus-on-english.com/blog/metodos/ingles-americano-vs-britanico","31","2","6.45%","4.258064516129032"
"https://www.focus-on-english.com/blog/examenes/guia-b2-first-fce","27","4","14.81%","5.777777777777778"
"https://www.focus-on-english.com/aplicaciones-para-aprender-ingles","25","0","0%","6.8"
"https://www.focus-on-english.com/frases-en-ingles/motivacion","24","0","0%","8.083325"
"https://www.focus-on-english.com/blog/trabajo/entrevista-trabajo-ingles-preguntas","23","0","0%","6.782608695652174"
"https://www.focus-on-english.com/blog/examenes/ielts-vs-toefl-diferencias-cual-elegir","23","1","4.3500000000000005%","5.347830434782609"
"https://www.focus-on-english.com/blog/gramatica/phrasal-verbs-with-put","21","0","0%","5.095228571428571"
"https://www.focus-on-english.com/blog/metodos/mejores-peliculas-series-ingles","20","2","10%","6.550020000000001"
"https://www.focus-on-english.com/blog/metodos/gramatica-ingles-b1-guia","18","1","5.5600000000000005%","6"
"https://www.focus-on-english.com/blog/examenes/use-of-english-c1-ejercicios","18","1","5.5600000000000005%","5.888833333333333"
"https://www.focus-on-english.com/blog/examenes/guia-precios-cambridge-2026","18","1","5.5600000000000005%","4.666655555555555"
"https://www.focus-on-english.com/blog/examenes/ingles-universitario-academico","18","4","22.22%","3.9444388888888886"
"https://www.focus-on-english.com/blog/gramatica/pronunciacion-terminaciones-ingles","17","0","0%","5.235294117647059"
"https://www.focus-on-english.com/blog/metodos/cake-app-ingles-review","17","4","23.53%","4.176458823529411"
"https://www.focus-on-english.com/blog/viajes/ingles-emergencias-viaje","17","0","0%","5.999994117647058"
"https://www.focus-on-english.com/blog/gramatica/second-conditional-ingles","16","0","0%","5.6875"
"https://www.focus-on-english.com/frases-en-ingles","15","0","0%","7.26668"
"https://www.focus-on-english.com/blog/metodos/bbc-learning-english-guia-completa","15","0","0%","6.4"
"https://www.focus-on-english.com/blog/examenes/writing-essay-cae","14","0","0%","5.2858"
"https://www.focus-on-english.com/blog/examenes/aptis-advanced-c1-guia","14","0","0%","6.2143"
"https://www.focus-on-english.com/blog/temas/phrasal-verbs","14","0","0%","3.9285714285714284"
"https://www.focus-on-english.com/blog/gramatica/third-conditional-ingles","13","0","0%","5.7692"
"https://www.focus-on-english.com/blog/gramatica/condicionales-ingles-guia-completa","13","0","0%","5.846184615384615"
"https://www.focus-on-english.com/blog/gramatica/present-perfect-vs-past-simple","12","1","8.33%","4.6667"
"https://www.focus-on-english.com/blog/gramatica/ejercicios-condicionales-ingles-c1","12","2","16.67%","2.4166666666666665"
"https://www.focus-on-english.com/blog/temas/verbos-modales-ingles","12","0","0%","6"
"https://www.focus-on-english.com/blog/examenes/examenes-eoi-ingles-guia","12","1","8.33%","5.0833"
"https://www.focus-on-english.com/blog/trabajo/vocabulario-negocios-ingles-profesional","12","2","16.67%","3.833341666666667"
"https://www.focus-on-english.com/blog/gramatica/present-perfect-since-for","12","0","0%","4.5833"
"https://www.focus-on-english.com/blog/temas/ingles-medico","12","0","0%","7.333324999999999"
"https://www.focus-on-english.com/blog/metodos/guia-maestra-reported-speech","12","0","0%","5.500025"
"https://www.focus-on-english.com/blog/gramatica/pasiva-impersonal-ingles","11","0","0%","1.9091"
"https://www.focus-on-english.com/blog/seo/guia-examen-aptis","11","1","9.09%","7.454536363636364"
"https://www.focus-on-english.com/blog/examenes/preparar-b1-cambridge-por-cuenta-propia","11","5","45.45%","2.6363545454545454"
"https://www.focus-on-english.com/blog/examenes/cambridge-c1-advanced-guia","11","3","27.27%","5.272736363636364"
"https://www.focus-on-english.com/blog/metodos/hablar-ingles-con-fluidez","11","0","0%","4.454563636363637"
"https://www.focus-on-english.com/blog/metodos/ingles-gamer-videojuegos","10","1","10%","5.4"
"https://www.focus-on-english.com/blog/gramatica/vocales-cortas-largas-ingles","10","2","20%","4.8"
"https://www.focus-on-english.com/blog/examenes/trucos-writing-c1-advanced","10","3","30%","4.19998"
"https://www.focus-on-english.com/blog/examenes/guia-linguaskill-cambridge","9","0","0%","7.888888888888889"
"https://www.focus-on-english.com/blog/metodos/slang-americano-expresiones-coloquiales","9","2","22.22%","4.7777666666666665"
"https://www.focus-on-english.com/blog/trabajo/vocabulario-negocios-ingles-esencial","8","2","25%","20.6250125"
"https://www.focus-on-english.com/blog/examenes/cambridge-b2-first-estrategias-aprobar","8","2","25%","4.5"
"https://www.focus-on-english.com/blog/examenes/inversiones-ingles-c1","8","1","12.5%","4.625"
"https://www.focus-on-english.com/blog/temas/voz-pasiva-ingles","8","2","25%","6.125"
"https://www.focus-on-english.com/blog/gramatica/ipa-ingles-como-leer","8","0","0%","7"
"https://www.focus-on-english.com/blog/gramatica/schwa-ingles-el-sonido-mas-importante","8","0","0%","5"
"https://www.focus-on-english.com/","7","0","0%","3.1428285714285713"
"https://www.focus-on-english.com/blog/gramatica/will-shall-ingles","7","0","0%","4.2857"
"https://www.focus-on-english.com/blog/trabajo/business-english-emails","7","0","0%","7.571428571428571"
"https://www.focus-on-english.com/blog/gramatica/ingles-indio-caracteristicas","7","0","0%","4.571428571428571"
"https://www.focus-on-english.com/blog/temas/reported-speech-c1-exercises-pdf","6","1","16.67%","7.333333333333333"
"https://www.focus-on-english.com/blog/trabajo/mejores-apps-ingles-trabajo","6","1","16.67%","3.0000166666666668"
"https://www.focus-on-english.com/blog/trabajo/cv-ingles-guia","6","1","16.67%","3.33335"
"https://www.focus-on-english.com/blog/temas/verbos-modales-ingles-esquema","6","0","0%","9"
"https://www.focus-on-english.com/blog/gramatica/passive-reporting-verbs-guia-avanzada","6","1","16.67%","3.8333333333333335"
"https://www.focus-on-english.com/blog/metodos/passive-reporting-verbs-guia-avanzada","6","0","0%","2.3333"
"https://www.focus-on-english.com/blog/metodos/reported-speech-ejercicios-pdf","6","1","16.67%","6.3333"
"https://www.focus-on-english.com/blog/metodos/ingles-para-ligar-y-citas","6","0","0%","3.3333166666666667"
"https://www.focus-on-english.com/hubs/ingles-para-ingenieros","6","2","33.33%","2.5"
"https://www.focus-on-english.com/test-nivel","6","0","0%","7"
"https://www.focus-on-english.com/hubs/verbos-modales-ingles","6","0","0%","8.333350000000001"
"https://www.focus-on-english.com/blog/metodos/lingopie-review-aprender-ingles-series","6","0","0%","2.6666666666666665"
"https://www.focus-on-english.com/blog/metodos/shadowing-tecnica-ingles","6","0","0%","4.833333333333333"
"https://www.focus-on-english.com/hubs/emails-profesionales-ingles","5","0","0%","3.99998"
"https://www.focus-on-english.com/blog/metodos/mejor-app-aprender-ingles","5","0","0%","2.4"
"https://www.focus-on-english.com/blog/trabajo/linkedin-ingles-guia","5","0","0%","7.4"
"https://www.focus-on-english.com/blog/temas/ingles-americano-vs-britanico","5","0","0%","5.4"
"https://www.focus-on-english.com/blog/metodos/duolingo-ingles-review","4","0","0%","5"
"https://www.focus-on-english.com/planes","4","0","0%","7.249974999999999"
"https://www.focus-on-english.com/blog/gramatica/como-leer-transcripcion-fonetica-ingles","4","0","0%","5.75"
"https://www.focus-on-english.com/frases-en-ingles/amor","4","0","0%","6.000025"
"https://www.focus-on-english.com/blog/gramatica/pasiva-doble-objeto-ingles","4","2","50%","2"
"https://www.focus-on-english.com/blog/viajes/vocabulario-hotel-ingles","4","0","0%","5"
"https://www.focus-on-english.com/hubs/presentaciones-en-ingles","4","1","25%","6.75"
"https://www.focus-on-english.com/certificaciones-ingles-oficiales","4","0","0%","5.25"
"https://www.focus-on-english.com/blog/metodos/mejores-apps-ingles-ia-2025","4","1","25%","1.5"
"https://www.focus-on-english.com/blog/trabajo/presentaciones-ingles-guia","3","3","100%","4"
"https://www.focus-on-english.com/blog/viajes/inmigracion-ingles-guia","3","0","0%","7.6667"
"https://www.focus-on-english.com/blog/temas/aprender-vocabulario-ingles","3","0","0%","2"
"https://www.focus-on-english.com/blog/gramatica/como-entrenar-oido-acentos-ingles","3","1","33.33%","1.6666999999999998"
"https://www.focus-on-english.com/blog/temas/mejores-apps-ingles-gratis","3","1","33.33%","3.6666666666666665"
"https://www.focus-on-english.com/blog/gramatica/phrasal-verbs-principiantes","3","0","0%","1.6666999999999998"
"https://www.focus-on-english.com/blog/trabajo/ingles-para-ingenieros","3","0","0%","4.666666666666667"
"https://www.focus-on-english.com/hubs/fonetica-inglesa-basica","3","0","0%","8.3333"
"https://www.focus-on-english.com/blog/temas/ingles-para-enfermeria","3","1","33.33%","2"
"https://www.focus-on-english.com/blog/viajes/ingles-restaurantes-guia","2","0","0%","7.5"
"https://www.focus-on-english.com/frases-en-ingles/instagram","2","0","0%","8"
"https://www.focus-on-english.com/blog/temas/cambridge-english-2026","2","1","50%","3"
"https://www.focus-on-english.com/herramientas/generador-firmas-email-ingles","2","0","0%","3"
"https://www.focus-on-english.com/blog/trabajo/redaccion-emails-profesionales-ingles","2","0","0%","4"
"https://www.focus-on-english.com/blog/gramatica/acento-britanico-vs-americano-diferencias","2","0","0%","5.5"
"https://www.focus-on-english.com/blog/metodos/ingles-a1","2","0","0%","5.5"
"https://www.focus-on-english.com/blog/gramatica/gramatica-inglesa-guia","2","0","0%","5.5"
"https://www.focus-on-english.com/blog/trabajo/ingles-para-trabajo","2","0","0%","7.5"
"https://www.focus-on-english.com/blog/viajes/ingles-para-viajar-guia","2","1","50%","3.5"
"https://www.focus-on-english.com/blog/metodos/ejercicios-pronunciacion-ingles","2","0","0%","4"
"https://www.focus-on-english.com/blog/metodos/apps-ingles-sin-internet-offline","2","0","0%","6"
"https://www.focus-on-english.com/hubs/ingles-americano-vs-britanico","2","0","0%","7.5"
"https://www.focus-on-english.com/blog/temas/ingles-para-ingenieros","2","0","0%","9"
"https://www.focus-on-english.com/blog/temas/condicionales-ingles-b1","2","0","0%","1"
"https://www.focus-on-english.com/blog/viajes/ingles-para-viajar","2","0","0%","3.5"
"https://www.focus-on-english.com/blog/examenes/collocations-ingles-c1","2","0","0%","3"
"https://www.focus-on-english.com/hubs/mejores-apps-ingles-gratis","2","0","0%","6.5"
"https://www.focus-on-english.com/blog/examenes/ielts-dia-del-examen","2","0","0%","2"
"https://www.focus-on-english.com/blog/metodos/ingles-britanico-acentos-regionales","2","0","0%","6"
"https://www.focus-on-english.com/blog/gramatica/reported-speech-expresiones-tiempo","2","1","50%","1"
"https://www.focus-on-english.com/blog/examenes/aptis-a2-guia-completa","2","1","50%","3"
"https://www.focus-on-english.com/blog/metodos/ia-acelerar-aprendizaje-ingles","1","0","0%","8"
"https://www.focus-on-english.com/blog/temas/ingles-para-agentes-inmobiliarios","1","0","0%","7"
"https://www.focus-on-english.com/blog/metodos/bloqueo-mental-ingles-superar","1","0","0%","7"
"https://www.focus-on-english.com/blog/gramatica/word-stress-ingles-reglas","1","0","0%","4"
"https://www.focus-on-english.com/blog/metodos/clases-de-ingles-guia","1","0","0%","1"
"https://www.focus-on-english.com/blog/metodos/curso-ingles-gratis","1","0","0%","4"
"https://www.focus-on-english.com/blog/viajes/ingles-nomadas-digitales-mochileros","1","0","0%","6"
"https://www.focus-on-english.com/blog/viajes/como-preparar-ingles-viaje-largo","1","0","0%","1"
"https://www.focus-on-english.com/blog/gramatica/pronunciacion-ingles-guia-completa","1","0","0%","2"
"https://www.focus-on-english.com/blog/trabajo/entrevista-trabajo-exito","1","0","0%","10"
"https://www.focus-on-english.com/blog/gramatica/will-expresiones-ingles","1","2","200%","2"
"https://www.focus-on-english.com/blog/metodos/aprender-ingles-ia-guia","1","0","0%","7"
"https://www.focus-on-english.com/blog/metodos/voz-pasiva-ingles-guia","1","0","0%","6"
"https://www.focus-on-english.com/blog/trabajo/ingles-para-salud","1","0","0%","6"
"https://www.focus-on-english.com/blog/gramatica/phrasal-verbs-with-make","1","0","0%","7"
"https://www.focus-on-english.com/curso-ingles-para-salud","1","0","0%","5"
"https://www.focus-on-english.com/curso-ingles-para-ingenieros","1","0","0%","5"
"https://www.focus-on-english.com/blog/gramatica/shadowing-pronunciacion-ingles","1","0","0%","8"
"https://www.focus-on-english.com/hubs/preparar-ielts","1","0","0%","9"
"https://www.focus-on-english.com/blog/viajes","1","0","0%","3"
"https://www.focus-on-english.com/blog/gramatica/pares-minimos-ingles-practica","1","2","200%","4"
"https://www.focus-on-english.com/blog/gramatica/errores-pronunciacion-hispanohablantes","1","0","0%","1"
"https://www.focus-on-english.com/blog/temas/ingles-futbol","1","0","0%","9"
"https://www.focus-on-english.com/blog/gramatica/pares-minimos-ingles","1","0","0%","6"
"https://www.focus-on-english.com/blog/trabajo/negociacion-ingles-tecnicas-clave","1","0","0%","10"
"https://www.focus-on-english.com/blog/seo/preparacion-examen-b1-cambridge","1","1","100%","4"
"https://www.focus-on-english.com/hubs/ingles-para-viajar","1","0","0%","9"
"https://www.focus-on-english.com/blog/viajes/ingles-para-compras","1","0","0%","1"
